,nmos length,nmos width,pmos length,pmos width,switching point
0,50.0,500.0,50.0,1000.0,4.874310719978978e-09
1,50.0,500.0,50.0,1050.0,5.002810719979017e-09
2,50.0,500.0,50.0,1100.0,5.017310719979022e-09
3,50.0,500.0,50.0,1150.0,5.030810719979025e-09
4,50.0,500.0,50.0,1200.0,5.055310719979033e-09
5,50.0,500.0,50.0,1250.0,5.0593107199790346e-09
6,50.0,500.0,50.0,1300.0,5.102310719979048e-09
7,50.0,500.0,50.0,1350.0,5.102310719979048e-09
8,50.0,500.0,50.0,1400.0,5.102310719979048e-09
9,50.0,500.0,50.0,1450.0,5.219810719979084e-09
10,50.0,500.0,100.0,1000.0,4.254810719978787e-09
11,50.0,500.0,100.0,1050.0,4.26231071997879e-09
12,50.0,500.0,100.0,1100.0,4.355310719978819e-09
13,50.0,500.0,100.0,1150.0,4.331310719978811e-09
14,50.0,500.0,100.0,1200.0,4.354310719978818e-09
15,50.0,500.0,100.0,1250.0,4.375310719978825e-09
16,50.0,500.0,100.0,1300.0,4.4723107199788545e-09
17,50.0,500.0,100.0,1350.0,4.442310719978845e-09
18,50.0,500.0,100.0,1400.0,4.441310719978845e-09
19,50.0,500.0,100.0,1450.0,4.45731071997885e-09
20,50.0,500.0,150.0,1000.0,4.16681071997876e-09
21,50.0,500.0,150.0,1050.0,4.199310719978771e-09
22,50.0,500.0,150.0,1100.0,4.260810719978789e-09
23,50.0,500.0,150.0,1150.0,4.26231071997879e-09
24,50.0,500.0,150.0,1200.0,4.2718107199787934e-09
25,50.0,500.0,150.0,1250.0,4.352310719978818e-09
26,50.0,500.0,150.0,1300.0,4.347310719978816e-09
27,50.0,500.0,150.0,1350.0,4.363310719978821e-09
28,50.0,500.0,150.0,1400.0,4.388310719978829e-09
29,50.0,500.0,150.0,1450.0,4.39281071997883e-09
30,50.0,500.0,200.0,1000.0,4.078310719978734e-09
31,50.0,500.0,200.0,1050.0,4.161310719978759e-09
32,50.0,500.0,200.0,1100.0,4.16531071997876e-09
33,50.0,500.0,200.0,1150.0,4.168810719978761e-09
34,50.0,500.0,200.0,1200.0,4.214310719978775e-09
35,50.0,500.0,200.0,1250.0,4.268810719978792e-09
36,50.0,500.0,200.0,1300.0,4.265310719978791e-09
37,50.0,500.0,200.0,1350.0,4.271310719978793e-09
38,50.0,500.0,200.0,1400.0,4.281310719978796e-09
39,50.0,500.0,200.0,1450.0,4.36031071997882e-09
40,50.0,500.0,250.0,1000.0,3.995310719978708e-09
41,50.0,500.0,250.0,1050.0,4.0078107199787124e-09
42,50.0,500.0,250.0,1100.0,4.077310719978733e-09
43,50.0,500.0,250.0,1150.0,4.078310719978734e-09
44,50.0,500.0,250.0,1200.0,4.078310719978734e-09
45,50.0,500.0,250.0,1250.0,4.16681071997876e-09
46,50.0,500.0,250.0,1300.0,4.169810719978762e-09
47,50.0,500.0,250.0,1350.0,4.16331071997876e-09
48,50.0,500.0,250.0,1400.0,4.1983107199787705e-09
49,50.0,500.0,250.0,1450.0,4.271310719978793e-09
50,50.0,500.0,300.0,1000.0,3.954310719978696e-09
51,50.0,500.0,300.0,1050.0,3.978810719978703e-09
52,50.0,500.0,300.0,1100.0,3.994310719978708e-09
53,50.0,500.0,300.0,1150.0,4.005810719978712e-09
54,50.0,500.0,300.0,1200.0,4.014810719978714e-09
55,50.0,500.0,300.0,1250.0,4.077310719978733e-09
56,50.0,500.0,300.0,1300.0,4.078310719978734e-09
57,50.0,500.0,300.0,1350.0,4.078310719978734e-09
58,50.0,500.0,300.0,1400.0,4.168310719978761e-09
59,50.0,500.0,300.0,1450.0,4.171810719978763e-09
60,50.0,500.0,350.0,1000.0,3.920810719978685e-09
61,50.0,500.0,350.0,1050.0,3.943810719978693e-09
62,50.0,500.0,350.0,1100.0,3.966310719978699e-09
63,50.0,500.0,350.0,1150.0,3.9683107199787e-09
64,50.0,500.0,350.0,1200.0,3.984310719978705e-09
65,50.0,500.0,350.0,1250.0,3.994810719978708e-09
66,50.0,500.0,350.0,1300.0,4.005810719978712e-09
67,50.0,500.0,350.0,1350.0,4.077310719978733e-09
68,50.0,500.0,350.0,1400.0,4.078310719978734e-09
69,50.0,500.0,350.0,1450.0,4.078310719978734e-09
70,50.0,500.0,400.0,1000.0,3.8433107199786616e-09
71,50.0,500.0,400.0,1050.0,3.881810719978674e-09
72,50.0,500.0,400.0,1100.0,3.900310719978679e-09
73,50.0,500.0,400.0,1150.0,3.923310719978686e-09
74,50.0,500.0,400.0,1200.0,3.946310719978693e-09
75,50.0,500.0,400.0,1250.0,3.9688107199787e-09
76,50.0,500.0,400.0,1300.0,3.985810719978706e-09
77,50.0,500.0,400.0,1350.0,3.996810719978708e-09
78,50.0,500.0,400.0,1400.0,4.006810719978711e-09
79,50.0,500.0,400.0,1450.0,4.016810719978714e-09
80,50.0,500.0,450.0,1000.0,3.822310719978655e-09
81,50.0,500.0,450.0,1050.0,3.842810719978661e-09
82,50.0,500.0,450.0,1100.0,3.864310719978668e-09
83,50.0,500.0,450.0,1150.0,3.887810719978676e-09
84,50.0,500.0,450.0,1200.0,3.910310719978682e-09
85,50.0,500.0,450.0,1250.0,3.932810719978689e-09
86,50.0,500.0,450.0,1300.0,3.954310719978696e-09
87,50.0,500.0,450.0,1350.0,3.975310719978702e-09
88,50.0,500.0,450.0,1400.0,3.988810719978706e-09
89,50.0,500.0,450.0,1450.0,3.998310719978709e-09
90,50.0,500.0,500.0,1000.0,3.787310719978651e-09
91,50.0,500.0,500.0,1050.0,3.811810719978653e-09
